geneId,diseaseId,geneSymbol,diseaseName,recordCount,pubmedCount,directEvidence,inferenceChemicalCount
4255,MESH:D005909,MGMT,Glioblastoma,1,2,marker/mechanism,0
4255,MESH:D005910,MGMT,Glioma,1,3,marker/mechanism,0
4256,MESH:D002277,MGP,Carcinoma,1,2,marker/mechanism,0
4256,MESH:D015674,MGP,"Mammary Neoplasms, Animal",1,2,marker/mechanism,0
4256,MESH:D008325,MGP,"Mammary Neoplasms, Experimental",1,2,marker/mechanism,0
406906,MESH:D056486,MIR122,Chemical and Drug Induced Liver Injury,1,8,marker/mechanism,0
406933,MESH:D056486,MIR141,Chemical and Drug Induced Liver Injury,1,2,marker/mechanism,0
406935,MESH:D009374,MIR143,"Neoplasms, Experimental",1,2,therapeutic,0
406947,MESH:D008175,MIR155,Lung Neoplasms,1,2,marker/mechanism,0
406947,MESH:D009362,MIR155,Neoplasm Metastasis,1,2,marker/mechanism,0
406966,MESH:D002471,MIR191,"Cell Transformation, Neoplastic",1,2,marker/mechanism,0
406967,MESH:D056486,MIR192,Chemical and Drug Induced Liver Injury,1,4,marker/mechanism,0
406985,MESH:D001943,MIR200C,Breast Neoplasms,1,2,marker/mechanism|therapeutic,0
406985,MESH:D011658,MIR200C,Pulmonary Fibrosis,1,2,marker/mechanism|therapeutic,0
406991,MESH:D002471,MIR21,"Cell Transformation, Neoplastic",1,5,marker/mechanism|therapeutic,0
406991,MESH:D009361,MIR21,Neoplasm Invasiveness,1,2,marker/mechanism,0
407004,MESH:D056486,MIR22,Chemical and Drug Induced Liver Injury,1,2,marker/mechanism,0
407007,MESH:D003924,MIR222,"Diabetes Mellitus, Type 2",1,2,marker/mechanism,0
407019,MESH:D056486,MIR27B,Chemical and Drug Induced Liver Injury,1,2,marker/mechanism,0
4288,MESH:D001943,MKI67,Breast Neoplasms,1,3,marker/mechanism,0
4292,MESH:D015179,MLH1,Colorectal Neoplasms,1,3,marker/mechanism,0
4312,MESH:D009362,MMP1,Neoplasm Metastasis,1,4,marker/mechanism,0
4313,MESH:D001943,MMP2,Breast Neoplasms,1,2,marker/mechanism,0
4313,MESH:D015179,MMP2,Colorectal Neoplasms,1,2,marker/mechanism,0
4313,MESH:D019465,MMP2,Craniofacial Abnormalities,1,2,marker/mechanism,0
4313,MESH:D008103,MMP2,Liver Cirrhosis,1,2,marker/mechanism,0
4313,MESH:D008106,MMP2,"Liver Cirrhosis, Experimental",1,2,marker/mechanism,0
4313,MESH:D009203,MMP2,Myocardial Infarction,1,2,marker/mechanism,0
4313,MESH:D009361,MMP2,Neoplasm Invasiveness,1,5,marker/mechanism,0
4313,MESH:D009362,MMP2,Neoplasm Metastasis,1,6,marker/mechanism,0
