ncrnaId,drugId,ncrnaName,ncrnaType,drugName,phenotypeCount,pmidCount,effects,detectionMethods,levels,fda,targetGenes,pathways
circBase:hsa_circ_0029317,DrugBank:DB00515,hsa_circ_0029317,circRNA,Cisplatin,1,1,sensitive,Microarray,High,approved,,
circBase:hsa_circ_0029345,DrugBank:DB01229,hsa_circ_0029345,circRNA,Taxol,1,1,sensitive,Microarray,High,approved,,
circBase:hsa_circ_0029407,DrugBank:DB00515,hsa_circ_0029407,circRNA,Cisplatin,1,1,sensitive,Microarray,High,approved,,
circBase:hsa_circ_0029451,DrugBank:DB00515,hsa_circ_0029451,circRNA,Cisplatin,1,1,sensitive,Microarray,High,approved,,
circBase:hsa_circ_0029468,DrugBank:DB00515,hsa_circ_0029468,circRNA,Cisplatin,1,1,resistant,RNA-seq,High,approved,,
circBase:hsa_circ_0029473,DrugBank:DB00515,hsa_circ_0029473,circRNA,Cisplatin,1,1,resistant,Microarray,High,approved,,
circBase:hsa_circ_0029490,DrugBank:DB00515,hsa_circ_0029490,circRNA,Cisplatin,1,1,sensitive,Microarray,High,approved,,
circBase:hsa_circ_0029598,DrugBank:DB00515,hsa_circ_0029598,circRNA,Cisplatin,1,1,sensitive,Microarray,High,approved,,
circBase:hsa_circ_0029600,DrugBank:DB00515,hsa_circ_0029600,circRNA,Cisplatin,1,1,resistant,Microarray,High,approved,,
circBase:hsa_circ_0029614,DrugBank:DB00515,hsa_circ_0029614,circRNA,Cisplatin,1,1,sensitive,Microarray,High,approved,,
circBase:hsa_circ_0029682,DrugBank:DB00515,hsa_circ_0029682,circRNA,Cisplatin,1,1,sensitive,Microarray,High,approved,,
circBase:hsa_circ_0029712,DrugBank:DB00515,hsa_circ_0029712,circRNA,Cisplatin,1,1,resistant,Microarray,High,approved,,
circBase:hsa_circ_0029779,DrugBank:DB00515,hsa_circ_0029779,circRNA,Cisplatin,1,1,sensitive,Microarray,High,approved,,
circBase:hsa_circ_0029863,DrugBank:DB00515,hsa_circ_0029863,circRNA,Cisplatin,1,1,sensitive,Microarray,High,approved,,
circBase:hsa_circ_0029871,DrugBank:DB00515,hsa_circ_0029871,circRNA,Cisplatin,1,1,resistant,Microarray,High,approved,,
circBase:hsa_circ_0029924,DrugBank:DB00515,hsa_circ_0029924,circRNA,Cisplatin,1,1,sensitive,Microarray,High,approved,,
circBase:hsa_circ_0029927,DrugBank:DB00515,hsa_circ_0029927,circRNA,Cisplatin,1,1,sensitive,Microarray,High,approved,,
circBase:hsa_circ_0029930,DrugBank:DB00515,hsa_circ_0029930,circRNA,Cisplatin,1,1,resistant,Microarray,High,approved,,
circBase:hsa_circ_0029932,DrugBank:DB00515,hsa_circ_0029932,circRNA,Cisplatin,1,1,resistant,Microarray,High,approved,,
circBase:hsa_circ_0029964,DrugBank:DB00515,hsa_circ_0029964,circRNA,Cisplatin,1,1,resistant,Microarray,High,approved,,
circBase:hsa_circ_0029985,DrugBank:DB00515,hsa_circ_0029985,circRNA,Cisplatin,1,1,resistant,Microarray,High,approved,,
circBase:hsa_circ_0029987,DrugBank:DB00515,hsa_circ_0029987,circRNA,Cisplatin,1,1,resistant,Microarray,High,approved,,
circBase:hsa_circ_0030062,DrugBank:DB00619,hsa_circ_0030062,circRNA,Imatinib,1,1,resistant,Microarray,High,approved,,
circBase:hsa_circ_0030072,DrugBank:DB00515,hsa_circ_0030072,circRNA,Cisplatin,1,1,resistant,Microarray,High,approved,,
circBase:hsa_circ_0030080,DrugBank:DB00515,hsa_circ_0030080,circRNA,Cisplatin,1,1,sensitive,Microarray,High,approved,,
circBase:hsa_circ_0030117,DrugBank:DB00515,hsa_circ_0030117,circRNA,Cisplatin,1,1,sensitive,Microarray,High,approved,,
circBase:hsa_circ_0030136,DrugBank:DB00515,hsa_circ_0030136,circRNA,Cisplatin,1,1,sensitive,Microarray,High,approved,,
circBase:hsa_circ_0030181,DrugBank:DB00515,hsa_circ_0030181,circRNA,Cisplatin,1,1,sensitive,Microarray,High,approved,,
circBase:hsa_circ_0030190,DrugBank:DB00515,hsa_circ_0030190,circRNA,Cisplatin,1,1,sensitive,Microarray,High,approved,,
circBase:hsa_circ_0030261,DrugBank:DB00515,hsa_circ_0030261,circRNA,Cisplatin,1,1,sensitive,Microarray,High,approved,,
circBase:hsa_circ_0030262,DrugBank:DB00515,hsa_circ_0030262,circRNA,Cisplatin,1,1,resistant,Microarray,High,approved,,
