ncrnaId,phenotypeId,ncrnaName,ncrnaType,phenotypeName,drugCount,pmidCount,effects,levels,targetGenes,pathways
ENSEMBL:ENSG00000249776,PHENO:Hypopharyngeal Cancer,ENST00000512210,lncRNA,Hypopharyngeal Cancer,1,1,resistant,High,,
ENSEMBL:ENSG00000249816,PHENO:Glioblastoma,LINC00964,lncRNA,Glioblastoma,1,1,sensitive,High,,
ENSEMBL:ENSG00000249816,PHENO:Hypopharyngeal Cancer,ENST00000528090,lncRNA,Hypopharyngeal Cancer,1,1,sensitive,High,,
ENSEMBL:ENSG00000249835,PHENO:Cholangiocarcinoma,VCAN-AS1,lncRNA,Cholangiocarcinoma,1,1,resistant,High,,
ENSEMBL:ENSG00000249835,PHENO:Pancreatic Cancer,VCAN-AS1,lncRNA,Pancreatic Cancer,1,1,sensitive,High,,
ENSEMBL:ENSG00000249849,PHENO:Hypopharyngeal Cancer,ENST00000509363,lncRNA,Hypopharyngeal Cancer,1,1,sensitive,High,,
ENSEMBL:ENSG00000249850,PHENO:Gastric Cancer,KRT18P31,lncRNA,Gastric Cancer,2,1,resistant,High,,
ENSEMBL:ENSG00000249859,PHENO:Cholangiocarcinoma,PVT1,lncRNA,Cholangiocarcinoma,1,1,resistant,High,,
ENSEMBL:ENSG00000249859,PHENO:Endometrial Cancer,PVT1,lncRNA,Endometrial Cancer,1,1,resistant,High,,
ENSEMBL:ENSG00000249859,PHENO:Gastric Cancer,PVT1,lncRNA,Gastric Cancer,2,1,sensitive,High,,
ENSEMBL:ENSG00000249859,PHENO:Glioblastoma,PVT1,lncRNA,Glioblastoma,1,1,sensitive,High,,
ENSEMBL:ENSG00000249859,PHENO:Hepatocellular Carcinoma,LINC00079,lncRNA,Hepatocellular Carcinoma,1,1,resistant,High,,
ENSEMBL:ENSG00000249896,PHENO:Glioblastoma,LOC285484,lncRNA,Glioblastoma,1,1,resistant,High,,
ENSEMBL:ENSG00000249942,PHENO:Hypopharyngeal Cancer,ENST00000510419,lncRNA,Hypopharyngeal Cancer,1,1,resistant,High,,
ENSEMBL:ENSG00000250033,PHENO:Hypopharyngeal Cancer,ENST00000514752,lncRNA,Hypopharyngeal Cancer,1,1,resistant,High,,
ENSEMBL:ENSG00000250033,PHENO:Pancreatic Cancer,SLC7A11-AS1,lncRNA,Pancreatic Cancer,1,1,sensitive,High,,
ENSEMBL:ENSG00000250056,PHENO:Cholangiocarcinoma,LINC01018,lncRNA,Cholangiocarcinoma,1,1,sensitive,High,,
ENSEMBL:ENSG00000250095,PHENO:Hypopharyngeal Cancer,ENST00000508389,lncRNA,Hypopharyngeal Cancer,1,1,resistant,High,,
ENSEMBL:ENSG00000250125,PHENO:Glioblastoma,LOC401134,lncRNA,Glioblastoma,1,1,resistant,High,,
ENSEMBL:ENSG00000250133,PHENO:Cholangiocarcinoma,HOXC-AS2,lncRNA,Cholangiocarcinoma,1,1,resistant,High,,
ENSEMBL:ENSG00000250149,PHENO:Hypopharyngeal Cancer,ENST00000507203,lncRNA,Hypopharyngeal Cancer,1,1,resistant,High,,
ENSEMBL:ENSG00000250170,PHENO:Hypopharyngeal Cancer,ENST00000507770,lncRNA,Hypopharyngeal Cancer,1,1,sensitive,High,,
ENSEMBL:ENSG00000250174,PHENO:Hepatocellular Carcinoma,ENST00000515464,lncRNA,Hepatocellular Carcinoma,1,1,resistant,High,,
ENSEMBL:ENSG00000250208,PHENO:Cholangiocarcinoma,FZD10-AS1,lncRNA,Cholangiocarcinoma,1,1,resistant,High,,
