drugId,diseaseId,max_phase,labels,statuses
CHEMBL1200622,EFO_0003884,4.0,chronic kidney disease,Terminated | Completed
CHEMBL1200622,EFO_0005754,4.0,parathyroid disease,
CHEMBL1200622,EFO_1001173,4.0,secondary hyperparathyroidism,Completed | Terminated
CHEMBL1200636,HP_0003394,4.0,Muscle spasm,
CHEMBL1200638,EFO_0003956,4.0,seasonal allergic rhinitis,
CHEMBL1200644,EFO_0000612,4.0,myocardial infarction,
CHEMBL1200644,EFO_0003827,4.0,pulmonary embolism,
CHEMBL1200644,EFO_0003907,4.0,deep vein thrombosis,
CHEMBL1200644,HP_0004936,4.0,Venous thrombosis,Completed
CHEMBL1200659,EFO_0000373,4.0,congestive heart failure,
CHEMBL1200659,EFO_0000537,4.0,hypertension,Withdrawn | Completed | Unknown status
CHEMBL1200659,EFO_0003144,4.0,heart failure,
CHEMBL1200666,EFO_0000676,4.0,psoriasis,Completed | Recruiting | Terminated | Unknown status
CHEMBL1200666,EFO_1001494,4.0,psoriasis vulgaris,"Active, not recruiting | Completed"
CHEMBL1200671,EFO_0001065,4.0,endometriosis,
CHEMBL1200681,EFO_0003956,4.0,seasonal allergic rhinitis,
CHEMBL1200681,EFO_0005854,4.0,allergic rhinitis,Completed
CHEMBL1200681,EFO_1001417,4.0,"Rhinitis, Allergic, Perennial",
CHEMBL1200681,MONDO_0004979,4.0,asthma,Completed
CHEMBL1200686,EFO_0000274,4.0,atopic eczema,Completed | Terminated
CHEMBL1200692,EFO_0000319,4.0,cardiovascular disease,
CHEMBL1200692,EFO_0000400,4.0,diabetes mellitus,
CHEMBL1200692,EFO_0000537,4.0,hypertension,Completed | Unknown status
CHEMBL1200692,EFO_0000612,4.0,myocardial infarction,
CHEMBL1200692,EFO_0000712,4.0,stroke,
CHEMBL1200692,EFO_0003144,4.0,heart failure,
CHEMBL1200699,EFO_0000544,4.0,infection,
CHEMBL1200699,EFO_0000649,4.0,periodontitis,Terminated
CHEMBL1200699,EFO_0000771,4.0,bacterial disease,Completed
