drugId,targetId,max_phase,statuses,mechanisms,target_name
CHEMBL4298209,ENSG00000188229,4.0,,Tubulin inhibitor,Tubulin
CHEMBL4298209,ENSG00000196230,4.0,,Tubulin inhibitor,Tubulin
CHEMBL4298209,ENSG00000258947,4.0,,Tubulin inhibitor,Tubulin
CHEMBL4298209,ENSG00000261456,4.0,,Tubulin inhibitor,Tubulin
CHEMBL4298211,ENSG00000125730,4.0,,Complement C3 inhibitor,Complement C3
CHEMBL429910,ENSG00000140675,4.0,"Recruiting | Terminated | Unknown status | Enrolling by invitation | Not yet recruiting | Completed | Active, not recruiting | Withdrawn",Sodium/glucose cotransporter 2 inhibitor,Sodium/glucose cotransporter 2
CHEMBL4303669,ENSG00000160752,4.0,Withdrawn | Not yet recruiting | Recruiting | Unknown status | Completed | Terminated,Farnesyl diphosphate synthase inhibitor,Farnesyl pyrophosphate synthase
CHEMBL43064,ENSG00000081248,4.0,,Voltage-gated L-type calcium channel blocker,Voltage-gated L-type calcium channel
CHEMBL43064,ENSG00000157388,4.0,,Voltage-gated L-type calcium channel blocker,Voltage-gated L-type calcium channel
CHEMBL43064,ENSG00000196639,4.0,,Histamine H1 receptor antagonist,Histamine H1 receptor
CHEMBL431,ENSG00000159640,4.0,,Angiotensin-converting enzyme inhibitor,Angiotensin-converting enzyme
CHEMBL431770,ENSG00000128271,4.0,,Adenosine A2a receptor antagonist,Adenosine receptor A2a
CHEMBL433,ENSG00000112294,4.0,"Active, not recruiting | Unknown status | Completed",Succinate semialdehyde dehydrogenase inhibitor,"Succinate-semialdehyde dehydrogenase, mitochondrial"
CHEMBL434394,ENSG00000043591,4.0,,Beta-1 adrenergic receptor antagonist,Beta-1 adrenergic receptor
CHEMBL434394,ENSG00000169252,4.0,,Beta-2 adrenergic receptor antagonist,Beta-2 adrenergic receptor
CHEMBL435,ENSG00000070915,4.0,Recruiting | Unknown status | Completed | Withdrawn,Thiazide-sensitive sodium-chloride cotransporter inhibitor,Solute carrier family 12 member 3
CHEMBL439849,ENSG00000108576,4.0,Completed,Serotonin transporter inhibitor,Sodium-dependent serotonin transporter
CHEMBL439849,ENSG00000178394,4.0,Completed,Serotonin 1a (5-HT1a) receptor partial agonist,5-hydroxytryptamine receptor 1A
CHEMBL441738,ENSG00000258839,4.0,,Melanocortin receptor 1 agonist,Melanocyte-stimulating hormone receptor
CHEMBL442,ENSG00000120907,4.0,,Adrenergic receptor alpha agonist,Adrenergic receptor alpha
CHEMBL442,ENSG00000150594,4.0,,Adrenergic receptor alpha agonist,Adrenergic receptor alpha
CHEMBL442,ENSG00000170214,4.0,,Adrenergic receptor alpha agonist,Adrenergic receptor alpha
CHEMBL442,ENSG00000171873,4.0,,Adrenergic receptor alpha agonist,Adrenergic receptor alpha
CHEMBL442,ENSG00000179546,4.0,,Serotonin 1d (5-HT1d) receptor agonist,5-hydroxytryptamine receptor 1D
CHEMBL442,ENSG00000184160,4.0,,Adrenergic receptor alpha agonist,Adrenergic receptor alpha
CHEMBL442,ENSG00000274286,4.0,,Adrenergic receptor alpha agonist,Adrenergic receptor alpha
CHEMBL4435170,ENSG00000105397,4.0,"Completed | Recruiting | Active, not recruiting",Tyrosine-protein kinase TYK2 negative allosteric modulator,Non-receptor tyrosine-protein kinase TYK2
CHEMBL445,ENSG00000103546,4.0,Completed | Unknown status | Terminated,Norepinephrine transporter inhibitor,Sodium-dependent noradrenaline transporter
CHEMBL445,ENSG00000108576,4.0,Terminated | Unknown status | Completed,Serotonin transporter inhibitor,Sodium-dependent serotonin transporter
CHEMBL4535757,ENSG00000133703,4.0,,GTPase KRas inhibitor,GTPase KRas
CHEMBL4559134,ENSG00000108091,4.0,,Coiled-coil domain-containing protein 6/Tyrosine-protein kinase receptor RET inhibitor,Coiled-coil domain-containing protein 6/Tyrosine-protein kinase receptor RET
CHEMBL4559134,ENSG00000165731,4.0,,Tyrosine-protein kinase receptor RET inhibitor,Proto-oncogene tyrosine-protein kinase receptor Ret
CHEMBL4559134,ENSG00000170759,4.0,,Kinesin-1 heavy chain/ Tyrosine-protein kinase receptor RET inhibitor,Kinesin-1 heavy chain/ Tyrosine-protein kinase receptor RET
CHEMBL456,ENSG00000074803,4.0,,Sodium-(potassium)-chloride cotransporter 2 inhibitor,Solute carrier family 12 member 1
CHEMBL457,ENSG00000186951,4.0,,Peroxisome proliferator-activated receptor alpha agonist,Peroxisome proliferator-activated receptor alpha
CHEMBL4582651,ENSG00000108091,4.0,,Coiled-coil domain-containing protein 6/Tyrosine-protein kinase receptor RET inhibitor,Coiled-coil domain-containing protein 6/Tyrosine-protein kinase receptor RET
CHEMBL4582651,ENSG00000165731,4.0,,Tyrosine-protein kinase receptor RET inhibitor,Proto-oncogene tyrosine-protein kinase receptor Ret
CHEMBL4582651,ENSG00000170759,4.0,,Kinesin-1 heavy chain/ Tyrosine-protein kinase receptor RET inhibitor,Kinesin-1 heavy chain/ Tyrosine-protein kinase receptor RET
CHEMBL4585668,ENSG00000116016,4.0,,Endothelial PAS domain-containing protein 1 inhibitor,Endothelial PAS domain-containing protein 1
CHEMBL4594214,ENSG00000148408,4.0,,Voltage-gated N-type calcium channel alpha-1B subunit blocker,Voltage-dependent N-type calcium channel subunit alpha-1B
CHEMBL4594217,ENSG00000140675,4.0,"Completed | Active, not recruiting | Recruiting | Unknown status | Not yet recruiting",Sodium/glucose cotransporter 2 inhibitor,Sodium/glucose cotransporter 2
CHEMBL4594230,ENSG00000119535,4.0,,Granulocyte colony stimulating factor receptor agonist,Granulocyte colony-stimulating factor receptor
CHEMBL4594260,ENSG00000106462,4.0,,Histone-lysine N-methyltransferase EZH2 inhibitor,Histone-lysine N-methyltransferase EZH2
CHEMBL4594273,ENSG00000091831,4.0,,Estrogen receptor alpha degrader,Estrogen receptor
CHEMBL4594292,ENSG00000105976,4.0,,Hepatocyte growth factor receptor inhibitor,Hepatocyte growth factor receptor
